producto,descripcion,unidad,ult_venta,ult_compra,costo_prom,existencias,ventas_monto,ventas_cant
ESPAINOX3/16,"ESPARRAGO A/INOX 3/16X 1 MT LONG""",PZ,,2023-07-25,35,12.68,0,0
ESPAINOX5/16,"ESPARRAGO A/INOX 5/16 X I MT LONG""",PZ,,2022-10-31,56.02565,52.72,0,0
ESPG-12,ESPAGUETI F.V. C/ACRILICO 12MM Ø,MT,2023-08-08,2023-07-24,25.2036,13,82570.44,2476
ESPG-2,ESPAGUETI F.V. C/ACRILICO 2MM Ø,MT,2022-10-04,2023-04-25,2.16471,168.617,425.26,90
ESPG-25,ESPAGUETI F.V. C/ACRILICO 25MMØ,M,2022-12-05,2022-11-30,49.9,80,21327.9,230
ESPG-3/4,"ESPAGUETI F.V. C/ACRILICO 3/4(19MM)Ø""",M,2023-05-10,2023-05-31,32.65,254.5,24623.8,350
ESPG-3/8,"ESPAGUETI F.V. C/ACRILICO 3/8(9.5MM)Ø""",MT,2023-08-08,2023-05-31,12.39,35,12433.06,508
ESPG-6,ESPAGUETI F.V. C/ACRILICO 6MM Ø,MT,2023-07-26,2023-05-31,6.22,309.3,23237.75,1469
ESPG3MM,ESPAGUETI F.V. C/ACRILICO 3MM Ø,MT,2023-06-16,2023-04-10,2.96204,241.215,5082.1,691
ESPGAL- 3/16,"ESPARRAGO GALV 3/16X 1MT LONG""",PZ,,2023-07-25,14.655,20.38,0,0
ESPGFV-2,ESPAGUETI FV C/SILICON 2MM,PZ,,2023-02-28,8,31.4,0,0
"ESPGFVS-1/2""","ESPAGUETI FVC/SILICON 250° 1/2""(12.5mm)",MT,2023-04-20,2023-03-09,16.33,96,1696.41,14
ESPGFVS-1/4,"ESPAGUETI FV C/SILICON 250° 1/4""(6mm)",M,2023-07-31,2023-08-07,9.6,20,380,20
